Author	year	journal	primate_sp	plant_sp	Variable	Xc	Nc	Xe	Ne	lnR	Var(lnR)
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Pourouma guianensis	Germination Proportion (%)	0.1	58	12.1	58	4.7958	1.7243
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Cecropia sciadophylla	Germination Proportion (%)	60	10	12.5	1969	-1.5686	0
Valenta K & Fedigan LM	2009	American Journal of Physical Anthropology	Cebus capucinus	Acacia collinsii	Germination time (days)	21.4	600	12.8	282	-0.5139	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Marcgravia longifolia	Germination Proportion (%)	52.9	70	12.9	1772	-1.4112	0
Martins MM	2006	Biotropica	Alouatta caraya	Cordia sellowiana	Germination time (days)	19	3	13	5	-0.3795	0.0021
Martins MM	2006	Biotropica	Alouatta caraya	Diclidanthera sp.	Germination time (days)	14	52	13	85	-0.0741	0.0002
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Chrysophyllum lucentifolium	Days until 1st seed germinate	19	100	13	100	-0.3795	0.0001
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Cecropia hololeuca	Days until 1st seed germinate	13	120	13	120	0	0.0001
Catenacci LS, Vleeschouwer KM, Nogueira-Filho SLG	2009	Biotropica	Leontopithecus chrysomelas	Aechmea sp.	Germination time (days)	41.5	33	13.5	33	-1.123	0.0002
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Inga alba	Germination time (days)	16.8	39	13.7	39	-0.204	0.0002
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Leonia glycicarpa	Germination time (days)	7	14	14	15	0.6931	0.0018
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus mystax	Mendoncia sprucei	Germination time (days)	14	21	14	21	0	0.0005
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Spondias mombin	Germination time (days)	18	45	14	45	-0.2513	0.0002
Martins MM	2006	Biotropica	Alouatta caraya	Eugenia pyriformis	Germination Proportion (%)	92.6	54	14	50	-1.8892	0.0001
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Cordia lomatoloba	Germination time (days)	15	100	14	100	-0.069	0.0001
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Ficus americana	Germination Proportion (%)	2	200	14.2	1499	1.9601	0.0013
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Ficus pertusa	Germination time (days)	12.4	93	14.4	93	0.1495	0.0001
Valenta K & Fedigan LM	2009	American Journal of Physical Anthropology	Cebus capucinus	Genipa americana	Germination time (days)	23	100	14.5	100	-0.4613	0.0001
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Ficus insipida	Germination Proportion (%)	84	100	14.7	190	-1.743	0
Martins MM	2006	Biotropica	Alouatta caraya	Eugenia pyriformis	Germination time (days)	32	50	15	7	-0.7577	0.0007
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Pouteria hispida	Germination time (days)	20	32	15	32	-0.2877	0.0002
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Ficus insipida	Germination time (days)	15	100	15	190	0	0.0001
Bravo SP.	2009	Biotropica	Alouatta caraya	Banara arguta	Germination time (days)	22.7	50	15.1	50	-0.4077	0.0001
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Miconia argentea	Germination time (days)	16.3	1013	15.3	1013	-0.0633	0
Righini N, Serio-Silva JC, Rico-Gray V, Martínez-Mota R	2004	Zoo Biology	Alouatta pigra	Ficus sp.	Germination time (days)	25	10	15.4	10	-0.4845	0.0006
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Protium sagotianum	Germination time (days)	12.1	25	15.8	25	0.2668	0.0004
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Faramea sessifolia	Germination time (days)	21	25	16	25	-0.2719	0.0002
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Pradosia surinamensis	Germination time (days)	19	58	16	58	-0.1719	0.0001
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Ficus sp.	Germination time (days)	27	200	16	203	-0.5232	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Brosimum alicastrum	Germination time (days)	8	36	16.2	36	0.7056	0.0005
Domínguez-Domínguez LE, Morales-Mávil JE, Alba-Landa J	2006	Revista de Biología Tropical	Ateles geoffroyi	Ficus insipida	Days until 1st seed germinate	20	25	17	25	-0.1625	0.0002
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Micropholis gardneriana	Days until 1st seed germinate	17	36	17	36	0	0.0002
Estrada A & Coates-Estrada R	1984	American Journal of Primatology	Alouatta palliata	Brosimum alicastrum	Germination time (days)	24	100	18	80	-0.2877	0.0001
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Cordia bicolor	Germination Proportion (%)	0.1	28	18	95	5.193	3.5715
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Micropholis gardneriana	Days until 1st seed germinate	18	125	18	125	0	0
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Cecropia sciadophylla	Germination Proportion (%)	60	10	18.5	3327	-1.1766	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Castilla ulei	Germination time (days)	24.8	29	19	29	-0.2664	0.0002
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Chrysophyllum lucentifolium	Germination time (days)	22	100	19	100	-0.1466	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Micropholis gardneriana	Germination time (days)	35	125	19	125	-0.6109	0
Julliot C	1996	International Journal of Primatology	Alouatta seniculus	Mouriri crassifolia	Days until 1st seed germinate	26	50	19	140	-0.3137	0
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia latecrenata	Days until 1st seed germinate	19	385	19	385	0	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Lagothrix lagotricha	Crepidospermum rhoifolium	Germination time (days)	25	37	19.7	37	-0.2383	0.0001
Domínguez-Domínguez LE, Morales-Mávil JE, Alba-Landa J	2006	Revista de Biología Tropical	Ateles geoffroyi	Ficus insipida	Germination time (days)	24.1	25	19.9	25	-0.1915	0.0002
Martins MM	2006	Biotropica	Brachyteles arachnoides	Rudgea sp.	Germination Proportion (%)	93.8	16	20	27	-1.5454	0.0001
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Miconia latecrenata	Days until 1st seed germinate	57	40	20	40	-1.0473	0.0001
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Randia sp.	Days until 1st seed germinate	27	40	20	40	-0.3001	0.0001
Nunes A	1995	Studies on Neotropical Fauna and Environment	Ateles belzebuth	Tetragastris panamensis	Germination time (days)	25	45	20	45	-0.2231	0.0001
Wehncke EV, Dalling JW 	2005	Biotropica	Cebus capucinus	Cordia lasiocalyx	Germination Proportion (%)	41	53	20	53	-0.7178	0.0001
Moraes PLR	1992	Revista do Instituto Florestal	Brachyteles arachnoides	Capsicodendron dinisii	Germination time (days)	32	100	20	186	-0.47	0
Stevenson PR, Castellanos MC, Pizarro JC, Garavito M	2002	International Journal of Primatology	Ateles belzebuth	Oenocarpus bataua	Germination time (days)	23.2	26	20.6	26	-0.1189	0.0002
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Micropholis egensis	Germination time (days)	91	16	21	11	-1.4663	0.0002
Lapenta MJ, Procópio-de-Oliveira P, Kierulff MCM, Motta-Junior JC.	2008	Brazilian Journal of Biology	Leontopithecus rosalia	Posoqueria latifolia	Germination time (days)	21	12	21	12	0	0.0004
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Tapura coriacea	Germination time (days)	14	10	21	14	0.4055	0.0007
Knogge C, Herrera ERT, Heymann EW	2003	International Journal of Primatology	Saguinus fuscicollis	Goupia glabra	Germination time (days)	28	15	21	20	-0.2877	0.0002
